scorer,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200
bodyparts,Upper Left Eye,Upper Left Eye,Upper Left Eye,Lower Left Eye,Lower Left Eye,Lower Left Eye,Upper Right Eye,Upper Right Eye,Upper Right Eye,Lower Right Eye,Lower Right Eye,Lower Right Eye,SB,SB,SB,Upper Tail,Upper Tail,Upper Tail,Mid-Tail,Mid-Tail,Mid-Tail,Lower Tail,Lower Tail,Lower Tail,Tail Tip,Tail Tip,Tail Tip,Head,Head,Head
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,703.125,286.875,0.9923123,658.125,253.125,0.995493,714.375,343.125,0.9917252,646.875,343.125,0.99102646,545.625,298.125,0.9779236,399.375,286.875,0.9924303,275.625,264.375,0.9814572,140.625,230.625,0.98822874,5.625,208.125,0.98779947,680.625,309.375,0.9806075
1,703.125,286.875,0.98182285,658.125,253.125,0.99833876,714.375,343.125,1.0,646.875,343.125,0.9776758,545.625,298.125,0.97392696,399.375,275.625,0.9916027,264.375,253.125,0.9865228,140.625,230.625,0.99377984,5.625,208.125,0.9963311,680.625,309.375,0.97798544
2,703.125,286.875,0.98084706,658.125,253.125,0.99871176,714.375,343.125,1.0,646.875,343.125,0.98787665,545.625,298.125,0.96930844,399.375,275.625,0.98097545,264.375,264.375,0.9756156,140.625,230.625,0.98238647,5.625,208.125,0.96252865,680.625,309.375,0.98036516
3,703.125,286.875,0.9964123,658.125,253.125,0.9929391,714.375,343.125,0.9950628,646.875,343.125,0.98150253,545.625,298.125,0.9735493,399.375,275.625,0.98000354,264.375,264.375,0.96607673,151.875,230.625,0.99906963,5.625,208.125,0.990849,680.625,309.375,0.98766446
4,703.125,286.875,0.99339867,658.125,253.125,1.0,714.375,343.125,0.99035084,646.875,343.125,0.9898019,534.375,298.125,0.9728453,399.375,275.625,0.9916821,264.375,264.375,0.9683163,151.875,230.625,0.98889136,5.625,208.125,0.9889814,680.625,309.375,0.99105304
5,703.125,286.875,0.98559546,658.125,253.125,0.99787736,714.375,343.125,0.99202126,646.875,343.125,0.9789743,545.625,298.125,0.9763078,399.375,286.875,0.9802954,264.375,253.125,0.98138636,140.625,230.625,0.9837611,5.625,208.125,1.0,680.625,309.375,0.983485
6,703.125,286.875,0.99859655,658.125,253.125,0.9945446,714.375,343.125,0.98456883,646.875,343.125,0.99233395,545.625,298.125,0.9765328,399.375,286.875,0.9825348,275.625,253.125,0.9708462,151.875,230.625,0.9984779,5.625,208.125,1.0,680.625,309.375,0.9893003
7,703.125,286.875,0.9967036,658.125,253.125,0.99723786,714.375,343.125,0.9897677,646.875,343.125,0.98720133,534.375,298.125,0.9756534,399.375,275.625,0.98042375,275.625,264.375,0.9734445,151.875,230.625,1.0,5.625,208.125,1.0,680.625,309.375,0.9947497
