scorer,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200,DLC_HrnetW32_Top-View ZebrafishJun26shuffle1_detector_200_snapshot_200
bodyparts,Upper Left Eye,Upper Left Eye,Upper Left Eye,Lower Left Eye,Lower Left Eye,Lower Left Eye,Upper Right Eye,Upper Right Eye,Upper Right Eye,Lower Right Eye,Lower Right Eye,Lower Right Eye,SB,SB,SB,Upper Tail,Upper Tail,Upper Tail,Mid-Tail,Mid-Tail,Mid-Tail,Lower Tail,Lower Tail,Lower Tail,Tail Tip,Tail Tip,Tail Tip,Head,Head,Head
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,699.3594,231.17188,0.9853637,643.8906,197.89062,0.9938875,688.2656,275.54688,0.9817753,632.7969,286.64062,0.9943366,521.8594,242.26562,0.9808214,399.82812,242.26562,0.9945924,277.79688,242.26562,0.99139345,155.76562,231.17188,1.0,22.640625,220.07812,1.0,666.0781,253.35938,0.9777392
1,698.40625,231.28125,0.99236447,643.09375,198.09375,0.9938154,687.34375,275.53125,0.97900474,632.03125,286.59375,0.9839576,521.40625,253.40625,0.97983056,399.71875,242.34375,0.9978427,278.03125,242.34375,1.0,156.34375,231.28125,0.9983308,23.59375,220.21875,1.0,665.21875,253.40625,0.99147296
2,700.3828,231.72656,0.9807159,644.9922,198.49219,0.9956003,689.3047,276.03906,0.98295766,633.91406,287.1172,0.9908299,523.1328,242.80469,0.9858544,401.27344,242.80469,0.99766314,279.41406,242.80469,0.9933531,157.55469,231.72656,0.99722195,24.617188,220.64844,1.0,656.0703,253.88281,0.9665449
3,698.3828,231.72656,0.9850907,642.9922,198.49219,0.99433553,687.3047,276.03906,0.9826894,631.91406,287.1172,0.986367,521.1328,242.80469,0.9808082,399.27344,242.80469,0.9962122,288.4922,242.80469,0.997303,155.55469,231.72656,1.0,22.617188,220.64844,1.0,665.14844,253.88281,0.98827773
4,699.3828,231.72656,0.97808594,643.9922,198.49219,0.9954731,688.3047,276.03906,0.980975,632.91406,287.1172,0.98200375,522.1328,253.88281,0.9781111,400.27344,242.80469,0.99938667,278.41406,242.80469,0.9993806,156.55469,231.72656,1.0,23.617188,220.64844,0.9965413,666.14844,253.88281,0.9749063
5,699.4297,231.83594,0.9837162,644.1953,198.69531,0.9951703,688.3828,276.02344,0.9858653,633.14844,287.0703,0.9879234,522.6797,242.88281,0.9791431,401.16406,242.88281,0.99412185,279.64844,242.88281,0.99843115,158.13281,231.83594,0.99719673,25.570312,220.78906,1.0,666.28906,253.92969,0.97797215
6,698.40625,231.28125,0.9978374,643.09375,198.09375,0.99142945,687.34375,275.53125,0.987212,632.03125,286.59375,0.99439275,521.40625,242.34375,0.9797835,399.71875,242.34375,0.99449843,278.03125,242.34375,0.99884003,156.34375,231.28125,1.0,23.59375,220.21875,1.0,665.21875,253.40625,0.98688656
7,700.4531,231.39062,0.9880485,645.2969,198.29688,0.98693144,689.4219,275.51562,0.9881283,634.2656,286.54688,0.9953415,523.9531,253.45312,0.9881914,402.60938,242.42188,0.99534345,281.26562,242.42188,1.0,159.92188,231.39062,0.9991436,27.546875,220.35938,0.9891197,656.3281,253.45312,0.96871966
