,Upper Left Eye x,Upper Left Eye y,Lower Left Eye x,Lower Left Eye y,Upper Right Eye x,Upper Right Eye y,Lower Right Eye x,Lower Right Eye y,SB x,SB y,Upper Tail x,Upper Tail y,Mid-Tail x,Mid-Tail y,Lower Tail x,Lower Tail y,Tail Tip x,Tail Tip y,Head x,Head y
0,701.3594,286.64062,656.9844,253.35938,712.4531,353.20312,645.8906,342.10938,546.0469,297.73438,412.92188,286.64062,279.79688,275.54688,146.67188,264.45312,13.546875,264.45312,679.1719,308.82812
1,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,545.625,298.125,399.375,286.875,275.625,264.375,140.625,264.375,16.875,253.125,680.625,309.375
2,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,545.625,298.125,399.375,286.875,275.625,264.375,151.875,264.375,16.875,264.375,680.625,309.375
3,702.28906,287.21094,657.72656,253.78906,713.4297,342.91406,646.58594,342.91406,535.1797,298.35156,401.4922,287.21094,278.9453,264.9297,145.25781,253.78906,11.5703125,242.64844,680.0078,309.4922
4,703.125,286.875,658.125,253.125,714.375,343.125,646.875,354.375,545.625,298.125,399.375,275.625,275.625,264.375,140.625,253.125,5.625,241.875,680.625,309.375
5,702.14844,287.35156,657.21094,253.64844,713.3828,343.52344,645.97656,343.52344,544.8672,298.58594,398.8203,287.35156,275.2422,264.8828,151.66406,253.64844,5.6171875,242.41406,679.6797,309.8203
6,703.125,286.875,658.125,253.125,703.125,343.125,646.875,354.375,545.625,298.125,399.375,286.875,275.625,264.375,151.875,253.125,5.625,241.875,680.625,309.375
7,702.2656,286.73438,657.6406,253.26562,713.4219,342.51562,646.4844,353.67188,546.0781,297.89062,401.04688,286.73438,267.17188,264.42188,144.45312,253.26562,10.578125,230.95312,679.9531,309.04688
8,703.14844,287.35156,658.21094,253.64844,714.3828,343.52344,646.97656,343.52344,534.6328,298.58594,399.8203,287.35156,276.2422,264.8828,141.42969,253.64844,6.6171875,231.17969,680.6797,309.8203
9,702.14844,287.35156,657.21094,253.64844,713.3828,343.52344,645.97656,343.52344,544.8672,298.58594,398.8203,276.1172,275.2422,264.8828,140.42969,253.64844,5.6171875,231.17969,679.6797,309.8203
10,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,534.375,298.125,399.375,286.875,275.625,264.375,140.625,253.125,5.625,230.625,680.625,309.375
11,703.2422,287.2578,658.5547,253.74219,714.41406,343.1172,647.3828,343.1172,535.66406,298.4297,401.60156,287.2578,267.53906,264.91406,144.64844,253.74219,10.5859375,231.39844,680.89844,309.60156
12,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,534.375,298.125,399.375,286.875,264.375,264.375,140.625,241.875,5.625,230.625,680.625,309.375
13,702.21875,286.78125,657.46875,253.21875,713.40625,342.71875,646.28125,342.71875,545.59375,297.96875,400.15625,286.78125,265.90625,264.40625,142.84375,242.03125,8.59375,230.84375,679.84375,309.15625
14,701.1719,286.82812,656.2969,264.39062,712.3906,342.92188,645.0781,342.92188,544.1094,298.04688,398.26562,275.60938,263.64062,264.39062,140.23438,241.95312,5.609375,230.73438,678.7344,309.26562
15,701.3125,286.6875,656.8125,253.3125,712.4375,342.3125,645.6875,353.4375,534.4375,297.8125,400.9375,286.6875,267.4375,264.4375,133.9375,242.1875,11.5625,231.0625,679.0625,308.9375
16,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,534.375,298.125,399.375,286.875,264.375,264.375,140.625,241.875,5.625,230.625,680.625,309.375
17,702.1953,287.3047,657.3828,253.69531,713.39844,343.3203,646.1797,343.3203,545.35156,298.5078,399.71094,287.3047,276.47656,264.89844,153.24219,242.49219,7.6015625,231.28906,679.78906,309.71094
18,703.125,286.875,658.125,253.125,714.375,343.125,646.875,354.375,545.625,298.125,399.375,286.875,264.375,264.375,140.625,241.875,16.875,230.625,680.625,309.375
19,702.14844,287.35156,657.21094,253.64844,713.3828,343.52344,645.97656,343.52344,544.8672,298.58594,398.8203,276.1172,275.2422,264.8828,140.42969,242.41406,5.6171875,231.17969,679.6797,309.8203
20,702.14844,287.35156,657.21094,253.64844,713.3828,354.7578,645.97656,343.52344,544.8672,298.58594,398.8203,287.35156,275.2422,264.8828,140.42969,242.41406,5.6171875,231.17969,679.6797,309.8203
21,702.1719,286.82812,657.2969,253.17188,713.3906,342.92188,646.0781,342.92188,545.1094,298.04688,399.26562,275.60938,264.64062,264.39062,141.23438,241.95312,6.609375,230.73438,679.7344,309.26562
22,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,545.625,298.125,399.375,286.875,264.375,264.375,129.375,241.875,5.625,219.375,680.625,309.375
23,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,545.625,298.125,399.375,286.875,264.375,264.375,140.625,253.125,5.625,219.375,680.625,309.375
24,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,545.625,298.125,399.375,286.875,264.375,264.375,140.625,241.875,5.625,230.625,680.625,309.375
25,703.125,286.875,658.125,253.125,714.375,354.375,646.875,343.125,545.625,298.125,399.375,286.875,275.625,264.375,140.625,241.875,5.625,230.625,680.625,309.375
26,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,534.375,298.125,399.375,286.875,264.375,264.375,140.625,241.875,5.625,219.375,680.625,309.375
27,702.14844,287.35156,657.21094,253.64844,713.3828,343.52344,645.97656,343.52344,544.8672,298.58594,398.8203,276.1172,264.0078,264.8828,140.42969,242.41406,5.6171875,219.94531,679.6797,309.8203
28,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,534.375,298.125,399.375,286.875,264.375,264.375,129.375,241.875,5.625,219.375,680.625,309.375
29,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,534.375,298.125,399.375,275.625,264.375,264.375,140.625,241.875,5.625,219.375,680.625,309.375
30,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,545.625,298.125,399.375,286.875,264.375,264.375,140.625,241.875,5.625,219.375,680.625,309.375
31,703.125,286.875,658.125,253.125,714.375,354.375,646.875,343.125,534.375,298.125,399.375,286.875,264.375,264.375,140.625,241.875,5.625,230.625,680.625,309.375
32,703.125,286.875,658.125,253.125,714.375,343.125,646.875,343.125,545.625,298.125,399.375,275.625,264.375,264.375,140.625,241.875,5.625,219.375,680.625,309.375
33,702.28906,287.21094,657.72656,253.78906,713.4297,342.91406,646.58594,342.91406,546.3203,298.35156,401.4922,287.21094,267.8047,264.9297,145.25781,242.64844,11.5703125,220.36719,680.0078,309.4922
