,Upper Left Eye x,Upper Left Eye y,Lower Left Eye x,Lower Left Eye y,Upper Right Eye x,Upper Right Eye y,Lower Right Eye x,Lower Right Eye y,SB x,SB y,Upper Tail x,Upper Tail y,Mid-Tail x,Mid-Tail y,Lower Tail x,Lower Tail y,Tail Tip x,Tail Tip y,Head x,Head y
0,1427.7578,67.86719,1315.3359,22.898438,1427.7578,135.32031,1337.8203,202.77344,1068.0078,135.32031,798.1953,157.80469,550.8672,202.77344,281.0547,225.25781,33.726562,225.25781,1360.3047,112.83594
1,1411.1875,85.1875,1315.9375,21.6875,1427.0625,148.6875,1315.9375,180.4375,1077.8125,116.9375,807.9375,180.4375,601.5625,291.5625,474.5625,434.4375,1379.4375,116.9375,1363.5625,116.9375
2,1428.75,67.25,1316.25,22.25,1428.75,134.75,1316.25,179.75,1068.75,112.25,776.25,179.75,528.75,269.75,281.25,359.75,33.75,292.25,1361.25,112.25
3,1428.9297,70.44531,1318.2266,4.0234375,1428.9297,159.00781,1318.2266,181.14844,1074.6797,114.72656,808.9922,159.00781,543.3047,225.42969,299.7578,336.1328,78.35156,446.83594,1362.5078,114.72656
4,1428.7656,89.953125,1316.4219,22.546875,1428.7656,157.35938,1316.4219,179.82812,1069.2656,112.421875,799.6406,157.35938,552.4844,224.76562,282.85938,292.17188,80.640625,382.04688,1361.3594,112.421875
5,1428.7578,67.86719,1316.3359,22.898438,1428.7578,157.80469,1316.3359,180.28906,1069.0078,112.83594,821.6797,157.80469,551.8672,202.77344,304.53906,270.22656,57.210938,337.6797,1361.3047,112.83594
6,1428.7578,67.86719,1316.3359,22.898438,1428.7578,157.80469,1316.3359,180.28906,1069.0078,112.83594,799.1953,157.80469,551.8672,225.25781,304.53906,270.22656,34.726562,337.6797,1361.3047,112.83594
7,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,247.25,33.75,314.75,1361.25,112.25
8,1428.7656,89.953125,1316.4219,22.546875,1428.7656,157.35938,1316.4219,179.82812,1069.2656,112.421875,799.6406,157.35938,530.0156,202.29688,282.85938,247.23438,35.703125,292.17188,1361.3594,112.421875
9,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,551.25,202.25,281.25,247.25,33.75,314.75,1361.25,112.25
10,1420.8125,68.1875,1308.9375,23.4375,1420.8125,157.6875,1308.9375,180.0625,1062.8125,112.9375,816.6875,157.6875,548.1875,202.4375,279.6875,247.1875,33.5625,291.9375,1376.0625,112.9375
11,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,551.25,202.25,281.25,247.25,33.75,292.25,1361.25,112.25
12,1428.75,67.25,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,551.25,202.25,281.25,247.25,33.75,292.25,1361.25,112.25
13,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,528.75,202.25,258.75,247.25,33.75,292.25,1361.25,112.25
14,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,247.25,33.75,292.25,1361.25,112.25
15,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,528.75,202.25,258.75,247.25,33.75,292.25,1361.25,112.25
16,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,247.25,33.75,292.25,1361.25,112.25
17,1427.7578,90.35156,1315.3359,22.898438,1427.7578,157.80469,1315.3359,180.28906,1068.0078,112.83594,820.6797,157.80469,550.8672,202.77344,281.0547,247.74219,33.726562,270.22656,1360.3047,112.83594
18,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,247.25,33.75,292.25,1361.25,112.25
19,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,247.25,33.75,292.25,1361.25,112.25
20,1419.8438,90.96875,1330.5938,1.71875,1419.8438,157.90625,1308.2812,180.21875,1062.8438,135.59375,817.40625,157.90625,549.65625,202.53125,281.90625,247.15625,36.46875,269.46875,1375.2188,113.28125
21,1426.7656,89.953125,1314.4219,22.546875,1426.7656,157.35938,1314.4219,179.82812,1067.2656,134.89062,820.1094,157.35938,550.4844,202.29688,280.85938,224.76562,33.703125,269.70312,1359.3594,112.421875
22,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,247.25,33.75,269.75,1361.25,112.25
23,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,551.25,202.25,281.25,247.25,33.75,269.75,1361.25,112.25
24,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,247.25,33.75,269.75,1361.25,112.25
25,1428.7734,90.55469,1316.5078,23.195312,1428.7734,157.91406,1316.5078,180.36719,1069.5234,113.00781,800.08594,157.91406,553.10156,202.82031,283.66406,202.82031,14.2265625,202.82031,1361.4141,113.00781
26,1427.7578,90.35156,1315.3359,22.898438,1427.7578,157.80469,1315.3359,180.28906,1068.0078,135.32031,798.1953,157.80469,550.8672,202.77344,281.0547,202.77344,33.726562,202.77344,1360.3047,112.83594
27,1427.7578,90.35156,1315.3359,22.898438,1427.7578,157.80469,1315.3359,180.28906,1068.0078,135.32031,820.6797,157.80469,550.8672,202.77344,281.0547,225.25781,33.726562,270.22656,1360.3047,112.83594
28,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,528.75,202.25,281.25,247.25,33.75,292.25,1361.25,112.25
29,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,247.25,33.75,292.25,1361.25,112.25
30,1428.8281,90.765625,1317.1094,1.390625,1428.8281,157.79688,1317.1094,180.14062,1071.3281,113.109375,803.2031,157.79688,557.4219,202.48438,289.29688,224.82812,43.515625,269.51562,1361.7969,113.109375
31,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,112.25,798.75,157.25,528.75,202.25,281.25,247.25,33.75,292.25,1361.25,112.25
32,1428.75,89.75,1316.25,22.25,1428.75,157.25,1316.25,179.75,1068.75,134.75,798.75,157.25,551.25,202.25,281.25,247.25,33.75,269.75,1361.25,112.25
